subj_idx,condition,travel_time,response,n_from_leave,reward,tot_reward,rt,max_cz,max_c3,max_c4,stim
15089,1,20,1,0.47058823529411764,0.9003835870044153,0.0001348160309963993,1.040329920723565,-0.4775183606809584,-0.3429980756373727,-1.0509083641880645,mid
15089,1,20,1,0.4117647058823529,0.8428373454061214,0.01772935114947488,1.0618520373738538,-0.1422551815999305,-0.14867258925953947,-0.16655881471697795,mid
15089,1,20,1,0.3529411764705882,0.7715512387561407,0.033835762950033314,1.206595886222487,-0.422753199068064,0.46904729950424806,-0.27375006838326155,mid
15089,1,20,1,0.29411764705882354,0.7343086421978319,0.049164722046793057,1.3238043356313933,1.045880315001875,1.7382340313891123,1.0285054244588794,late
15089,1,20,1,0.23529411764705882,0.6892553191402361,0.06355317669265065,2.0744166459929256,0.1409454752225538,0.13209648663279244,-0.5166667486614818,late
15089,1,20,1,0.1764705882352941,0.6367146663262722,0.07684482616474408,1.5107332080796136,1.1204089378789046,1.9746164098754417,1.3720723195334545,late
15089,1,20,1,0.11764705882352941,0.5951458962628975,0.08926871249285917,1.407275274196536,-0.021064931329919857,0.7769094877967282,0.21751437405263993,late
15089,1,20,1,0.058823529411764705,0.47425004598700277,0.09916885412106108,1.6286084832242982,-0.126326487205684,0.19709408389895422,-0.49654003604894614,late
15089,1,20,0,0.0,0.0,0.09916885412106108,0.8771634307710197,-0.21480011541307142,-0.48977709019010024,-0.9542112709664471,leave
15089,1,20,1,0.5294117647058824,0.9265300893094385,0.11851050560759654,0.8584974456781542,-0.5802164642250842,-1.047155149832871,0.10031828302986849,mid
15089,1,20,1,0.47058823529411764,0.8826418282177149,0.13693597373410873,1.141235903035351,-0.04596077706135094,0.18262726101048313,0.41596783295053563,mid
15089,1,20,1,0.4117647058823529,0.8405706638812129,0.15448319105407035,1.0950886388380359,0.1363906621013983,0.02238046047528002,0.18404605453680703,mid
15089,1,20,1,0.3529411764705882,0.7692219178024354,0.17054097743532864,1.0634302179508945,-0.27169582483819743,-0.5742264483421436,-0.11468961584319376,mid
15089,1,20,1,0.29411764705882354,0.6932245863981888,0.18501229197407698,1.2770716237207012,-0.0075539264797692485,-0.6488698750171886,0.05733849323817648,late
15089,1,20,1,0.23529411764705882,0.5801335161782322,0.19712278942585515,1.6938132161068897,-0.03244977221112685,0.02886395383181029,0.44153300178172333,late
15089,1,20,1,0.1764705882352941,0.5278777266571026,0.20814242832837157,1.3442460207726867,-0.35163630218875647,-0.308586377492686,-0.09319936412448947,late
15089,1,20,1,0.11764705882352941,0.46856251595071796,0.21792384070530546,1.640257786612608,-0.7453624146513846,-0.9805001759560157,-0.22311833120353136,late
15089,1,20,1,0.058823529411764705,0.39175380710151647,0.2261018434414372,1.1570311401297881,-0.3856297185935065,-0.17909326304648587,-0.25411862590663636,late
15089,1,20,0,0.0,0.0,0.2261018434414372,0.7782200019278207,-0.6688336632984762,-0.15432227104443352,-0.4844351771939801,leave
15089,1,20,1,0.6470588235294118,0.9484496179637052,0.24590107303457895,0.9811803447583429,-0.544224015305113,0.10533382490153456,-0.48171666273038,early
15089,1,20,1,0.5882352941176471,0.8760318868179695,0.26418855623823173,0.7574144859200374,-0.7180412076502272,0.04482164717990726,-0.6116351540456048,mid
15089,1,20,1,0.5294117647058824,0.8603187852379519,0.28214802275031675,1.2610610904022792,0.2526008664564794,0.38925755194697376,0.2693819077530538,mid
15089,1,20,1,0.47058823529411764,0.8393031790659935,0.29966878086529053,1.344838974226036,-0.45718171191397083,-0.16994823290718228,-0.6311471798035765,mid
15089,1,20,1,0.4117647058823529,0.8476777015692182,0.3173643601733291,1.7955361389525706,0.11377770273463869,0.3211001802615417,0.3649685682203799,mid
15089,1,20,1,0.3529411764705882,0.7596964710821518,0.3332232994012752,1.9398833687024535,0.02217291449663903,0.46805082423141636,0.17947848398942473,mid
15089,1,20,1,0.29411764705882354,0.7092927369108946,0.3480300424067683,3.490334187144186,1.101072901330224,0.8861221530515758,0.7936191616869659,late
15089,1,20,1,0.23529411764705882,0.6407997454285869,0.361406969385986,1.4735205396547717,0.538507450515802,1.0189441097012015,0.7591655353013215,late
15089,1,20,1,0.1764705882352941,0.5967523792562328,0.37386439162894575,1.3247346523420451,0.08461528157479241,0.061942321951989454,-0.2528828293859531,late
15089,1,20,1,0.11764705882352941,0.47767429484016105,0.3838360156932662,1.4316321903013431,0.11420403148921737,0.853542022567815,-0.13531469105646854,late
15089,1,20,1,0.058823529411764705,0.4065050978329954,0.39232195697084077,1.1613212630501266,-0.5960048756358136,-0.2547241992785755,-0.04898924909603547,late
15089,1,20,0,0.0,0.0,0.39232195697084077,0.4599809749245196,-0.8042429091011326,-1.1460649267906813,-0.1408704230565858,leave
15089,1,20,1,0.8235294117647058,0.9289184956202272,0.4117134673049243,0.609349544678139,-0.9235820815651452,-1.84640516767875,-1.0299138583690883,early
15089,1,20,1,0.7647058823529411,0.9007090357801483,0.43051609493876336,1.208428076839823,-0.8396687462829325,-0.039786532223874585,-0.6698008491861843,early
15089,1,20,1,0.7058823529411764,0.809380755557645,0.44741221161595895,0.7771853949361684,-0.3486509049456867,-1.015904506923996,-0.28672057950748703,early
15089,1,20,1,0.6470588235294118,0.7173151045422649,0.4623864244539089,0.7075585961264323,-0.5904593139435889,-0.8077871879775035,-0.5156783493268483,early
15089,1,20,1,0.5882352941176471,0.681787453600215,0.4766189846994766,0.7737746287028813,0.10410365667583917,-0.5689097788592202,0.5509501164766945,mid
