subj_idx,condition,travel_time,response,n_from_leave,rt,max_cz,max_c3,max_c4
47204,1,0.0,1,15,1.648,1.72450041770935,1.40190982818604,3.30475807189941
47204,1,0.0,1,14,1.856,4.79527950286865,4.12377119064331,1.84336817264557
47204,1,0.0,1,13,1.964,-2.72987389564514,-1.85749542713165,-0.349416881799698
47204,1,0.0,1,12,2.296,4.15343523025513,5.31911611557007,6.80969095230103
47204,1,0.0,1,11,1.644,-0.455321073532104,2.36928701400757,0.0977446064352989
47204,1,0.0,1,10,1.644,-2.56893706321716,-0.650103986263275,1.81605434417725
47204,1,0.0,1,9,1.968,2.5826096534729,2.72120094299316,2.92739748954773
47204,1,0.0,1,8,9.592,-1.04341232776642,-0.801924169063568,-2.07683706283569
47204,1,0.0,1,7,6.444,3.70350742340088,4.41845035552979,3.69248485565186
47204,1,0.0,1,6,1.856,10.3175954818726,10.7243280410767,7.97565698623657
47204,1,0.0,1,5,2.956,3.05042457580566,2.39669370651245,5.01702833175659
47204,1,0.0,1,4,6.004,-5.44726181030273,-4.41563940048218,-2.86767387390137
47204,1,0.0,1,3,4.48,1.89967882633209,4.47675180435181,-1.22859847545624
47204,1,0.0,1,2,8.712,1.01148653030396,0.566950857639313,1.28783786296844
47204,1,0.0,1,1,8.076,14.0585203170776,17.0423698425293,11.470272064209
47204,1,5.024,0,0,1.976,-8.8624792098999,-5.88767242431641,-7.41064929962158
47204,1,0.0,1,14,1.964,3.91856241226196,5.22014188766479,4.65780830383301
47204,1,0.0,1,13,1.86,6.80601596832275,4.00806760787964,2.1693069934845
47204,1,0.0,1,12,2.4,-0.200849771499634,-1.42930030822754,-0.296002417802811
47204,1,0.0,1,11,18.66,4.71427583694458,1.77814471721649,7.20633459091187
47204,1,0.0,1,10,5.68,3.44536209106445,4.67052316665649,5.01940727233887
47204,1,0.0,1,9,1.64,-2.68170022964478,1.24658930301666,-2.1366024017334
47204,1,0.0,1,8,1.64,-3.55045390129089,-1.30514299869537,-1.77881097793579
47204,1,0.0,1,7,2.404,3.34597539901733,2.51358771324158,4.22774648666382
47204,1,0.0,1,6,1.644,2.61518430709839,1.50731015205383,1.55628514289856
47204,1,0.0,1,5,1.52,-0.711272954940796,-0.132862433791161,-1.25797784328461
47204,1,0.0,1,4,1.628,1.85621988773346,1.80761027336121,4.96762418746948
47204,1,0.0,1,3,1.64,0.496059387922287,1.32473993301392,1.76988399028778
47204,1,0.0,1,2,1.976,-0.38489356637001,-2.43323349952698,0.6578449010849
47204,1,0.0,1,1,1.532,-2.20293045043945,-1.99872493743896,-1.25087010860443
47204,1,5.14,0,0,1.528,-1.93902373313904,1.01727366447449,-4.38508081436157
47204,1,0.0,1,12,1.744,-0.551040530204773,1.83367705345154,1.52886629104614
47204,1,0.0,1,11,2.08,0.879437446594238,0.0704287812113762,1.27712547779083
47204,1,0.0,1,10,1.756,-3.90803837776184,-2.96285438537598,-1.43767654895782
47204,1,0.0,1,9,1.864,1.08062899112701,2.75779390335083,3.48689126968384
47204,1,0.0,1,8,1.536,-3.20884466171265,-1.29004335403442,-3.544597864151
47204,1,0.0,1,7,1.852,-12.2160491943359,-5.15422582626343,-10.7329330444336
47204,1,0.0,1,6,2.508,0.542256295681,2.18046450614929,2.76801729202271
47204,1,0.0,1,5,1.536,3.51010990142822,4.7160906791687,1.6341210603714
47204,1,0.0,1,4,1.64,0.133970528841019,1.89606893062592,-0.4462571144104
47204,1,0.0,1,3,1.748,2.03222990036011,2.94746041297913,0.0799982026219368
47204,1,0.0,1,2,1.532,-3.27673149108887,0.0934664532542229,-1.69849741458893
47204,1,0.0,1,1,1.532,0.437186151742935,-0.0564567372202873,-0.341522783041
47204,1,19.964,0,0,1.764,-3.23822474479675,-2.35906076431274,0.273333430290222
47204,1,0.0,1,17,1.752,-3.8889057636261,-4.26575660705566,-3.53947687149048
47204,1,0.0,1,16,1.856,2.3637330532074,3.86190128326416,2.71783876419067
47204,1,0.0,1,15,1.752,-2.46718811988831,-2.14788317680359,0.484691321849823
47204,1,0.0,1,14,2.624,-2.04547762870789,1.58145570755005,-0.496036976575851
47204,1,0.0,1,13,1.636,-2.27017903327942,-1.26443934440613,-1.63136518001556
47204,1,0.0,1,12,1.856,5.53274726867676,5.15446519851685,4.50415086746216
47204,1,0.0,1,11,2.188,-14.5509939193726,-15.1991758346558,-7.5723180770874
47204,1,0.0,1,10,1.976,5.80556488037109,5.99543714523315,4.13836765289307
47204,1,0.0,1,9,1.544,-6.70699596405029,-4.60228395462036,-3.99060606956482
47204,1,0.0,1,8,1.748,-3.82462453842163,-3.42343044281006,-5.28286123275757
47204,1,0.0,1,7,1.644,-6.22872972488403,-3.38563990592957,-2.4543879032135
47204,1,0.0,1,6,1.644,-3.86717081069946,0.232947632670403,-3.5960705280304
47204,1,0.0,1,5,1.652,-0.146186545491219,1.92804825305939,-0.986723124980927
47204,1,0.0,1,4,1.524,-2.79843592643738,-0.463512867689133,0.1156867146492
47204,1,0.0,1,3,1.644,-6.9327130317688,-5.04121589660645,-1.79355490207672
