subj_idx,condition,travel_time,response,n_from_leave,reward,tot_reward,rt,max_cz,max_c3,max_c4,stim
45194,1,5,1,0.4,0.9134021587077188,0.0005026436331706,1.1258552525543446,-0.915465605916295,-1.0372766532343167,-0.9127337766453192,mid
45194,1,5,1,0.2,0.878328375694838,0.0321944385413968,0.95745898738096,-0.8951301066945362,-0.7241861790306019,-0.6516724135725652,late
45194,1,5,0,0.0,0.0,0.0321944385413968,3.141429539830653,-0.5300115821251469,-0.5224684917283673,-0.476431974182231,leave
45194,1,5,1,0.2,0.9189086118228844,0.0653504472405985,2.006261712812149,-0.3208086348908238,-0.1723617530780178,-0.3512178207104725,late
45194,1,5,0,0.0,0.0,0.0653504472405985,5.6356402898615,-0.4838804756719946,-0.2611817707363146,-0.3064343484123119,leave
45194,1,5,1,0.4,0.9368868006244044,0.0991551439340465,3.490116203737387,-0.6553650313465711,-0.7241850051408915,-0.5234606355401591,mid
45194,1,5,1,0.2,0.8626000559074692,0.1302794304948873,0.9656990395889123,-0.5249695710287129,-0.3561001454745137,-0.5324514896482924,late
45194,1,5,0,0.0,0.0,0.1302794304948873,0.8806442718225758,-0.3561448463631538,-0.5002268032601507,-0.5156731589144493,leave
45194,1,5,0,0.0,0.0,0.1302794304948873,1.5729962993044635,-1.0078607023376311,-0.545018913192123,-0.9161811891453358,leave
45194,1,5,1,0.2,0.9200800664926856,0.1634777075554069,1.2907791528535886,-0.811426456442197,-0.8157613158546738,-0.8450388164515883,late
45194,1,5,0,0.0,0.0,0.1634777075554069,1.7587697952450303,-0.485143409242099,-0.3573174691110706,-0.51866847539074,leave
45194,1,5,0,0.0,0.0,0.1634777075554069,0.9652036646683092,-0.798523791234433,-0.4641167816751062,-0.5664461101230167,leave
45194,1,5,1,0.2,0.9208631291573603,0.1967042390388233,1.6074920123757015,-0.573618982145572,-0.4601595994390341,-0.4879634521480245,late
45194,1,5,0,0.0,0.0,0.1967042390388233,1.233484342360213,-0.4433574856965184,-0.1476760262189927,-0.4836242535539738,leave
45194,1,5,0,0.0,0.0,0.1967042390388233,1.4446491607858998,-0.9221897278498856,-0.869382250348367,-0.6670987838933958,leave
45194,1,5,1,0.6000000000000001,0.9661257288831882,0.2315639330924336,0.8762016989700787,-0.3539009515597869,-0.2205017964829636,-0.394049230662401,early
45194,1,5,1,0.4,0.929840050771221,0.2651143693551629,1.440950835421745,-0.8410054626150264,-0.6410020059036763,-0.7367469604755409,mid
45194,1,5,1,0.2,0.8503537701625601,0.2957967861245283,1.0891955332509724,-0.8489979198876069,-0.7267757797462652,-0.5886112212391429,late
45194,1,5,0,0.0,0.0,0.2957967861245283,2.079075110531051,-0.403680412731725,-0.469300678665432,-0.3795241672835782,leave
45194,1,5,0,0.0,0.0,0.2957967861245283,1.1959101151292653,-1.0818984273104475,-0.6763501730623469,-0.7484301949879072,leave
45194,1,5,1,0.6000000000000001,0.9668414213134302,0.3306823037520368,1.0083060231901873,-0.1071254605262769,-0.3039911809363715,-0.3221587501259398,early
45194,1,5,1,0.4,0.8458059928991679,0.3612006278787095,1.7464427024242464,-0.1252095024681609,-0.263619939678562,-0.0691785674135113,mid
45194,1,5,1,0.2,0.781943889365454,0.3894146831879286,1.3577144175433769,-0.7337425374581485,-0.8376872279890754,-0.7419845809061482,late
45194,1,5,0,0.0,0.0,0.3894146831879286,2.1090381825824243,-0.4729429739920807,-0.5649809078299283,-0.6973583468549156,leave
45194,1,5,0,0.0,0.0,0.3894146831879286,2.57589230691434,-0.3746523869872667,-0.6096145426502134,-0.7217674929886277,leave
45194,1,5,1,0.6000000000000001,0.9899418766205316,0.4251337101408077,2.247208676882792,-1.1044702588590656,-1.179881949946706,-0.8788874505906282,early
45194,1,5,1,0.4,0.9517924583854308,0.4594762319368103,1.2909624494749323,-0.3792817029393089,-0.4391340607176618,-0.4406350283340303,mid
45194,1,5,1,0.2,0.8480714563489317,0.4900762983878902,1.9255262667218176,-0.9997310401348464,-0.7970142970740003,-0.790063420647213,late
45194,1,5,0,0.0,0.0,0.4900762983878902,1.2270499988939036,-1.182154177843112,-0.8392144585108842,-0.9681543442203429,leave
45194,1,5,0,0.0,0.0,0.4900762983878902,1.1922433926307576,-0.4291972886876038,-0.1591014948346482,-0.4651979505881312,leave
45194,1,5,1,0.6000000000000001,0.8854374318350687,0.52202460185877,1.0573295736458022,-0.6971444727694208,-0.3801684063423816,-0.5917608908569101,early
45194,1,5,1,0.4,0.7998126872038157,0.550883398123673,1.1407133398856786,-1.5113757873278104,-0.6475534844143365,-0.7449842250406121,mid
45194,1,5,1,0.2,0.7638883432732616,0.5784459742372472,1.2078970821073651,-0.3129620253786622,-0.2232498723105438,-0.4587563756539985,late
45194,1,5,0,0.0,0.0,0.5784459742372472,1.311917914716446,-0.1240891755971441,-0.5841728308133757,-0.4481227425036734,leave
45194,1,5,1,0.4,0.938590750963034,0.6123121527706995,5.371634689833626,0.1198817170206382,0.1209240277100172,0.1662691180009101,mid
45194,1,5,1,0.2,0.875452796313959,0.6439001911859068,1.565497334298243,0.129417999846394,0.190399516721666,0.1506944532600455,late
45194,1,5,0,0.0,0.0,0.6439001911859068,1.4643424865766974,-0.2441121592626963,0.0142749730296827,-0.350172258496049,leave
45194,1,5,1,0.8,0.9431786748677604,0.6779319109308998,1.1597943601525458,-0.0367350099184669,-0.2494452213456946,-0.2841125760703452,early
45194,1,20,1,0.6000000000000001,0.8856174315881328,0.7098867091427162,3.276551937729664,0.1667172141390179,-0.1338112147713751,-0.0431174099001737,early
