subj_idx,condition,travel_time,response,max_cz,max_c3,max_c4
47324,1,20,1,180.476165771484,209.282760620117,-49.9650192260742
47324,1,20,0,180.095916748047,207.682632446289,-58.6272087097168
47324,1,20,1,171.097045898438,194.960662841797,-64.6396408081055
47324,1,20,1,175.741073608398,208.44514465332,-56.3715019226074
47324,1,20,1,182.070358276367,213.059341430664,-52.5216979980469
47324,1,20,0,179.426544189453,207.096405029297,-58.298469543457
47324,1,20,1,174.129028320312,198.277847290039,-59.9560508728027
47324,1,20,1,183.908218383789,211.506774902344,-50.4660339355469
47324,1,20,1,190.104782104492,209.278793334961,-47.8341369628906
47324,1,20,1,189.160079956055,217.281524658203,-39.3205146789551
47324,1,20,0,177.664001464844,209.140197753906,-61.1224670410156
47324,1,20,1,171.673324584961,207.70832824707,-64.6812515258789
47324,1,20,1,179.747360229492,207.029098510742,-55.581356048584
47324,1,20,1,190.554229736328,218.144989013672,-49.0481567382812
47324,1,20,1,173.093292236328,205.52799987793,-61.4551849365234
47324,1,20,0,174.091415405273,197.618316650391,-63.5385360717773
47324,1,20,1,187.611480712891,210.389846801758,-46.0735855102539
47324,1,20,1,182.496170043945,203.254486083984,-51.9969596862793
47324,1,20,0,179.087966918945,203.767425537109,-58.3241958618164
47324,1,20,1,189.007614135742,215.623947143555,-46.3567771911621
47324,1,20,1,174.420166015625,203.943634033203,-61.5700798034668
47324,1,20,1,171.926818847656,205.197265625,-62.8791313171387
47324,1,20,0,174.123107910156,199.468002319336,-52.2345657348633
47324,1,20,1,180.828659057617,209.080764770508,-49.4857711791992
47324,1,20,1,177.365005493164,206.76171875,-53.8010063171387
47324,1,20,1,175.19841003418,201.569183349609,-59.2985420227051
47324,1,20,0,174.20231628418,205.290328979492,-63.8395652770996
47324,1,20,1,176.745132446289,208.324279785156,-62.4295349121094
47324,1,5,1,180.513793945312,211.993942260742,-44.4259147644043
47324,1,5,0,179.680038452148,205.345764160156,-54.2624549865723
47324,1,5,1,172.998245239258,203.543701171875,-55.1139907836914
47324,1,5,1,181.909957885742,206.648864746094,-49.699649810791
47324,1,5,1,177.026351928711,206.613220214844,-56.7458343505859
47324,1,5,0,187.809509277344,215.839828491211,-54.2446098327637
47324,1,5,1,181.947616577148,209.89469909668,-56.2170715332031
47324,1,5,1,178.786880493164,214.39811706543,-57.1320457458496
47324,1,5,0,177.592727661133,207.686614990234,-54.8446960449219
47324,1,5,1,174.705368041992,201.868255615234,-56.7101669311523
47324,1,5,1,179.565185546875,205.230941772461,-55.7675552368164
47324,1,5,0,185.19743347168,211.817672729492,-54.7258529663086
47324,1,5,1,181.424713134766,210.896759033203,-56.7161521911621
47324,1,5,1,175.982650756836,206.159713745117,-62.3167190551758
47324,1,5,1,177.418426513672,211.663177490234,-59.7243499755859
47324,1,5,0,177.64616394043,202.888092041016,-51.7375106811523
47324,1,5,1,176.988708496094,206.686462402344,-51.6543006896973
47324,1,5,1,174.386444091797,202.527694702148,-55.5556640625
47324,1,5,1,174.192443847656,205.304153442383,-53.4603996276855
47324,1,5,0,189.75617980957,227.106231689453,-39.4769439697266
47324,1,5,1,182.373352050781,212.114730834961,-56.9280662536621
47324,1,5,1,187.272827148438,209.417434692383,-46.7449111938477
47324,1,5,0,179.06217956543,213.580215454102,-60.5204887390137
47324,1,5,1,184.276458740234,206.520141601562,-43.9031066894531
47324,1,5,1,176.652114868164,202.123733520508,-53.4603729248047
47324,1,5,0,172.154602050781,201.515716552734,-60.6789169311523
47324,1,5,1,188.884887695312,215.382354736328,-48.4203605651855
47324,1,5,1,175.077621459961,205.797332763672,-61.597827911377
47324,1,5,0,175.424209594727,198.396606445312,-53.6307067871094
47324,1,5,1,175.570739746094,204.714019775391,-52.0107727050781
47324,1,5,1,177.23225402832,206.034957885742,-58.2905807495117
47324,1,5,0,184.836929321289,214.530807495117,-54.9199104309082
47324,1,5,1,170.059356689453,205.084381103516,-64.382209777832
47324,1,5,1,179.897842407227,207.686599731445,-57.1855316162109
47324,1,5,0,181.034545898438,203.000991821289,-49.0501365661621
47324,1,5,1,183.543731689453,207.696487426758,-48.6599884033203
