subj_idx,condition,travel_time,response,max_cz,max_c3,max_c4
7873,1,20,1,191.665283203125,213.140502929688,-52.725700378418
7873,1,20,1,196.974655151367,207.910385131836,-41.051342010498
7873,1,20,1,199.123428344727,214.922912597656,-46.3924407958984
7873,1,20,1,193.168472290039,214.251571655273,-46.818187713623
7873,1,20,1,191.098999023438,219.244140625,-47.6083984375
7873,1,20,0,200.17497253418,211.550308227539,-41.9504051208496
7873,1,20,1,194.721008300781,216.810165405273,-37.4272651672363
7873,1,20,1,186.231155395508,209.82536315918,-48.760986328125
7873,1,20,1,195.645797729492,214.926849365234,-40.6255416870117
7873,1,20,1,189.803802490234,211.140380859375,-43.9011001586914
7873,1,20,1,178.61653137207,206.219116210938,-54.0862426757812
7873,1,20,1,202.901992797852,218.982666015625,-36.6093597412109
7873,1,20,1,188.835327148438,208.952072143555,-49.0956497192383
7873,1,20,1,183.341751098633,205.704223632812,-50.0343627929688
7873,1,20,1,196.576629638672,217.255783081055,-39.2234878540039
7873,1,20,0,189.712661743164,218.919296264648,-50.5829658508301
7873,1,20,1,195.279525756836,219.087661743164,-40.8572883605957
7873,1,20,1,189.524536132812,214.409942626953,-51.3294906616211
7873,1,20,1,193.306991577148,216.180419921875,-46.4577789306641
7873,1,20,1,193.118865966797,218.372695922852,-47.085506439209
7873,1,20,1,194.150619506836,221.016525268555,-44.0219192504883
7873,1,20,1,195.085388183594,219.384689331055,-42.6276969909668
7873,1,20,1,185.5478515625,207.284561157227,-50.9690437316895
7873,1,20,1,192.924789428711,216.974594116211,-44.396183013916
7873,1,20,1,199.307601928711,217.851913452148,-39.9739837646484
7873,1,20,1,188.863082885742,211.265121459961,-48.2520141601562
7873,1,20,1,194.744827270508,213.293106079102,-44.2199020385742
7873,1,20,1,191.419769287109,211.754287719727,-47.0736541748047
7873,1,20,1,193.770446777344,220.576919555664,-45.705207824707
7873,1,20,1,197.234146118164,220.689743041992,-41.8414840698242
7873,1,20,0,189.906753540039,214.701080322266,-44.5150184631348
7873,1,20,1,190.855316162109,213.471313476562,-48.822380065918
7873,1,20,1,197.115310668945,220.5234375,-38.363956451416
7873,1,20,1,192.114852905273,216.053695678711,-44.5645484924316
7873,1,20,1,187.900588989258,210.952209472656,-50.2918357849121
7873,1,20,1,196.426147460938,222.317657470703,-34.2843551635742
7873,1,5,1,198.854049682617,218.764846801758,-39.5244674682617
7873,1,5,1,192.433654785156,207.262786865234,-47.6717376708984
7873,1,5,1,201.388946533203,216.931030273438,-40.2373924255371
7873,1,5,1,199.192749023438,218.30339050293,-37.811408996582
7873,1,5,1,195.111175537109,218.032165527344,-39.34619140625
7873,1,5,1,196.707336425781,213.730697631836,-40.2651405334473
7873,1,5,0,193.744750976562,216.958755493164,-43.0138740539551
7873,1,5,1,197.075668334961,226.575408935547,-40.8275260925293
7873,1,5,1,193.105026245117,220.287780761719,-48.0024261474609
7873,1,5,1,192.415878295898,220.256103515625,-45.6062202453613
