subj_idx,condition,travel_time,response,max_cz,max_c3,max_c4
43650,1,5,1,173.511123657227,205.866638183594,-57.761833190918
43650,1,5,1,177.576858520508,205.615112304688,-57.728099822998
43650,1,5,1,178.151168823242,213.904983520508,-48.828296661377
43650,1,5,1,179.087890625,207.914337158203,-57.0211067199707
43650,1,5,1,177.75505065918,210.625473022461,-55.3002319335938
43650,1,5,0,189.932403564453,213.304931640625,-48.6203842163086
43650,1,5,1,173.841873168945,195.186401367188,-60.2432174682617
43650,1,5,1,167.057022094727,199.701690673828,-61.90673828125
43650,1,5,1,172.477401733398,200.693878173828,-60.5541381835938
43650,1,5,1,174.380508422852,205.306167602539,-57.5142593383789
43650,1,5,1,171.039672851562,199.252227783203,-56.4626655578613
43650,1,5,0,180.870208740234,207.276672363281,-54.9060974121094
43650,1,5,1,182.579299926758,209.900634765625,-55.0229110717773
43650,1,5,1,163.058731079102,193.996231079102,-66.6338958740234
43650,1,5,1,184.773529052734,211.31462097168,-49.2758445739746
43650,1,5,1,182.14958190918,212.227600097656,-51.5829925537109
43650,1,5,0,185.906341552734,213.275238037109,-46.0478019714355
43650,1,5,1,178.236282348633,201.874160766602,-57.2389640808105
43650,1,5,1,180.961318969727,205.300247192383,-52.2998847961426
43650,1,5,1,184.324020385742,209.455032348633,-55.0248908996582
43650,1,5,1,180.822692871094,205.248748779297,-49.8085746765137
43650,1,5,1,178.196685791016,205.110122680664,-54.1337471008301
43650,1,5,1,172.782363891602,201.454345703125,-57.3735847473145
43650,1,5,0,181.662384033203,209.455017089844,-57.6825866699219
43650,1,5,1,182.848541259766,212.189956665039,-53.4109039306641
43650,1,5,1,181.737594604492,208.567840576172,-51.1711196899414
43650,1,5,1,182.115921020508,212.538543701172,-55.8903198242188
43650,1,5,1,183.533889770508,208.740158081055,-52.7019348144531
43650,1,5,1,187.41145324707,215.077377319336,-47.620246887207
43650,1,5,0,188.722457885742,208.593627929688,-48.6104393005371
43650,1,5,1,183.088272094727,209.59765625,-44.4892616271973
43650,1,5,1,180.410842895508,205.22102355957,-56.4032516479492
43650,1,5,1,184.389404296875,207.112289428711,-50.4482383728027
43650,1,5,1,177.691711425781,200.430465698242,-55.2843437194824
43650,1,5,1,187.286712646484,207.878707885742,-48.3906593322754
43650,1,5,1,178.577026367188,203.684280395508,-52.7356071472168
43650,1,5,1,180.680038452148,196.150833129883,-51.9197120666504
43650,1,5,0,182.93376159668,209.783798217773,-53.1594047546387
43650,1,5,1,192.338577270508,211.445327758789,-54.3377265930176
